Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.15     0.00        3     0.00     0.00  caml_register_custom_operations
  0.00      0.15     0.00        3     0.00     0.00  caml_round_heap_chunk_size
  0.00      0.15     0.00        3     0.00     0.00  caml_string_equal
  0.00      0.15     0.00        2     0.00     0.00  camlDpll__Make_1057
  0.00      0.15     0.00        2     0.00     0.00  camlList__rev_merge_1246
  0.00      0.15     0.00        2     0.00     0.00  camlList__rev_sort_1267
  0.00      0.15     0.00        2     0.00     0.00  caml_do_read
  0.00      0.15     0.00        2     0.00     0.00  caml_flush
  0.00      0.15     0.00        2     0.00     0.00  caml_flush_partial
  0.00      0.15     0.00        2     0.00     0.00  caml_ml_flush
  0.00      0.15     0.00        2     0.00     0.00  caml_ml_open_descriptor_in
  0.00      0.15     0.00        2     0.00     0.00  caml_ml_open_descriptor_out
  0.00      0.15     0.00        2     0.00     0.00  caml_open_descriptor_out
  0.00      0.15     0.00        2     0.00     0.00  caml_stat_free
  0.00      0.15     0.00        1     0.00     0.00  camlArg__assoc3_1055
  0.00      0.15     0.00        1     0.00     0.00  camlArg__entry
  0.00      0.15     0.00        1     0.00     0.00  camlArg__parse_1149
  0.00      0.15     0.00        1     0.00     0.00  camlArg__parse_argv_1141
  0.00      0.15     0.00        1     0.00     0.00  camlArg__parse_argv_dynamic_1095
  0.00      0.15     0.00        1     0.00     0.00  camlArg__treat_action_1117
  0.00      0.15     0.00        1     0.00     0.00  camlArray__entry
  0.00      0.15     0.00        1     0.00     0.00  camlArray__fill_1088
  0.00      0.15     0.00        1     0.00     0.00  camlArray__list_length_1079
  0.00      0.15     0.00        1     0.00     0.34  camlArray__of_list_1083
  0.00      0.15     0.00        1     0.00     0.00  camlBuffer__create_1013
  0.00      0.15     0.00        1     0.00     0.00  camlBuffer__entry
  0.00      0.15     0.00        1     0.00     0.00  camlChar__entry
